## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000.0
# channelsPerBoard: 4.0
# nBoards: 1.0
# bitsPerSample: 12.0
##
## Data
## t; ch0; ch1; ch2; ch3
0 0 0
0 0 0 0
0 0 0 0
4 0 0 0
17 4 0 0
32 26 21 16
88 118 126 123
148 192 205 221
225 292 261 261
254 309 288 255
226 295 255 250
164 242 260 239
63 131 151 128
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
11 0 0 0
18 110
0 0 0 0
0 0 0 0
0 0 0 0
13 4 0 0
25 19 18 14
68 87 118 129
134 156 160 157
191 253 255 254
256 311 294 264
242 293 265 249
183 249 253 249
95 159 138 130
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
5 0 0 0
10 0 0 0
33 25 24 26
77 100 125 126
135 165 171 170
210 264 256 247
255 300 276 255
218 284 254 246
157 227 254 257
59 127 133 127
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
14 1 0 0
15 7 0 0
44 49 53 71
103 133 132 137
167 211 240 231
248 317 308 265
249 333 317 271
197 271 252 241
134 197 217 238
8 43 75 117
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
4 0 0 0
14 3 0 0
27 20 17 11
71 90 119 128
132 150 143 131
195 253 258 251
252 314 294 261
237 321 289 254
185 254 249 246
100 162 145 124
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
17 5 0 0
35 35 34 36
86 118 127 130
141 179 187 195
222 283 257 255
255 300 272 267
218 286 256 260
160 228 250 251
53 122 135 133
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
14 2 0 0
24 13 5 0
55 63 74 99
115 129 130 143
178 223 242 253
252 330 311 275
250 333 320 271
192 262 261 261
129 194 208 219
0 32 55 78
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
14 1 0 0
27 22 18 12
72 95 120 136
135 160 161 156
205 254 253 259
257 305 280 250
232 305 264 246
175 253 250 247
100 167 152 140
0 0 0 0
