## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000
# channelsPerBoard: 4
# nBoards: 1
# bitsPerSample: 12
##
## Data
## t;ch0;ch1;...;ch(channelsPerBoard * nBoards - 1)
34;133;134
0;0;7;12
0;0;0;0
0;0;0;0
0;0;0;0
4;0;0;0
14;0;0;0
24;16;18;21
44;45;59;88
68;97;126;136
88;131;135;132
121;141;140;135
246;297;253;264
260;336;315;287
220;303;262;255
139;211;227;254
21;65;120;141
0;0;13;33
0;0;0;0
0;0;0;0
0;0;0;1
7;0;0;0
24;18;23;39
37;40;56;84
65;85;128;136
90;126;140;139
121;142;136;136
229;275;255;244
265;351;342;323
234;331;312;263
172;256;255;240
62;125;132;134
0;3;19;32
0;0;0;0
0;0;0;0
0;0;0;0
10;0;1;2
23;7;5;5
44;43;52;75
57;72;109;128
79;124;138;137
111;143;134;141
189;253;250;264
258;341;332;322
255;325;313;280
193;265;260;248
89;147;137;127
0;1;7;6
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
21;11;7;5
41;43;58;79
64;85;123;131
86;127;134;137
118;147;137;136
204;256;258;254
266;345;340;336
245;331;315;277
177;259;254;253
67;128;147;137
0;1;17;28
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
25;11;12;18
33;29;39;56
52;63;88;129
78;120;135;131
116;147;133;135
175;225;247;240
255;329;323;298
250;316;296;261
192;261;254;239
108;149;146;137
0;1;11;11
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
14;1;1;0
31;26;31;51
47;64;89;124
75;111;128;127
98;141;139;137
128;160;149;134
252;298;263;252
263;335;322;297
216;298;257;245
134;204;219;238
21;61;123;135
0;0;14;23
0;0;0;0
0;0;0;0
0;0;0;0
16;7;7;12
29;26;32;54
44;54;76;116
66;95;134;135
98;134;139;139
132;159;155;154
249;320;270;254
256;332;309;271
214;295;260;245
130;212;227;246
6;49;102;137
0;0;3;15
0;0;0;0
0;0;0;0
0;0;0;0
12;1;1;10
21;7;5;7
36;35;42;57
59;80;118;134
83;124;140;143
113;139;139;138
220;266;256;247
264;360;365;363
242;320;308;289
175;254;246;253
62;129;137;137
0;1;15;23
0;0;0;0
0;0;0;0
0;0;0;0
3;0;0;0
17;2;0;2
26;22;22;24
52;63;89;129
71;105;136;135
102;144;135;140
154;200;219;246
259;341;330;311
256;352;356;347
199;289;267;262
115;175;178;175
4;18;42;63
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;1
8;0;0;0
19;11;4;4
37;33;44;57
54;71;101;142
79;122;137;137
111;143;137;135
212;261;247;255
268;345;340;330
249;338;328;297
180;259;250;241
64;129;137;139
0;0;15;23
0;0;0;0
0;0;0;0
0;0;0;0
10;0;1;1
28;13;18;23
36;35;46;64
53;69;104;144
88;123;126;135
113;138;140;139
200;252;244;245
260;337;334;309
245;332;313;269
178;256;255;253
73;134;136;133
0;0;15;20
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
24;11;11;20
31;29;34;47
49;60;87;132
73;109;134;137
110;136;130;135
165;213;229;252
257;332;327;315
250;318;300;265
199;268;256;246
101;157;149;137
1;9;24;39
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
12;1;0;1
33;25;32;45
49;60;87;126
65;95;133;131
95;134;136;128
126;143;134;137
249;304;259;247
261;336;319;290
227;316;281;257
149;227;253;229
28;84;134;126
0;0;11;15
0;0;0;0
0;0;0;0
0;0;0;0
7;0;0;0
21;11;6;3
36;36;40;57
60;79;117;136
81;127;139;130
115;160;152;135
207;263;254;244
256;336;325;308
248;321;300;266
185;259;260;247
80;134;129;135
0;0;6;8
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
16;6;9;10
24;21;23;30
50;59;87;127
66;98;137;139
103;139;131;134
134;161;166;163
254;299;264;260
258;322;297;263
204;278;254;244
128;178;192;207
8;31;67;110
0;0;0;12
0;0;0;0
0;0;0;0
0;0;0;0
7;0;0;0
30;20;27;35
42;45;62;94
58;83;121;130
84;128;140;137
120;144;134;137
219;268;239;257
258;343;330;312
226;322;296;259
159;244;252;235
52;121;136;137
0;1;17;24
0;0;0;0
0;0;0;0
0;0;0;0
7;0;0;0
23;16;13;29
42;45;62;94
60;79;120;138
81;129;136;130
112;142;133;138
206;252;256;254
261;334;321;301
244;313;282;256
182;255;249;241
79;134;131;129
0;1;12;29
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
23;11;13;18
34;29;37;53
52;65;92;130
76;123;133;129
113;146;138;136
177;232;250;234
258;342;338;334
253;321;306;277
194;265;263;246
94;146;134;148
0;2;10;18
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
7;0;0;0
26;20;22;39
41;47;63;96
68;93;127;127
89;129;139;139
120;146;134;135
243;268;255;243
266;322;304;263
225;312;266;254
156;234;253;230
38;105;137;133
0;0;17;25
0;0;0;0
0;0;0;0
0;0;0;0
13;1;2;2
21;7;5;7
34;32;37;50
51;69;92;126
80;122;129;130
115;140;129;135
183;238;255;246
262;345;347;353
252;342;333;310
190;263;261;246
94;149;144;133
0;3;15;19
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
15;5;6;13
26;21;23;32
50;61;84;123
70;101;139;138
98;135;148;133
133;157;151;145
260;308;266;261
261;331;309;273
209;282;257;254
128;188;196;218
10;36;74;130
0;0;0;10
0;0;0;0
0;0;0;0
0;0;0;0
7;0;0;0
25;19;22;40
39;42;58;91
61;88;127;139
90;126;136;130
123;141;133;132
229;281;252;245
268;332;324;303
231;325;297;265
157;248;245;249
39;113;130;128
0;1;16;31
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
27;15;20;28
43;50;71;109
65;94;132;137
84;128;147;142
121;150;139;130
225;273;243;253
259;349;337;319
230;327;305;266
171;256;252;239
51;121;143;138
0;1;13;30
0;0;0;0
0;0;0;0
0;0;0;0
4;0;0;0
24;13;13;23
43;45;62;96
58;79;122;140
83;129;137;137
110;159;149;137
200;253;258;254
261;355;356;357
243;324;316;295
181;257;254;256
75;128;135;133
0;0;10;12
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
18;2;2;1
37;31;39;53
55;70;102;122
74;113;139;126
110;135;133;132
150;188;196;210
257;337;315;283
255;327;313;274
207;280;264;252
123;174;178;175
6;19;43;62
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;1
10;0;0;1
22;11;12;13
39;39;54;76
59;78;119;133
88;129;134;139
120;152;141;140
246;298;259;250
266;333;321;295
228;318;287;260
149;229;249;223
31;90;135;131
0;0;14;22
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
23;15;14;29
41;46;62;99
59;81;122;139
82;129;137;137
114;143;134;134
208;254;264;239
259;335;321;301
250;321;298;265
189;254;259;252
73;131;136;137
0;2;11;16
0;0;0;0
0;0;0;0
0;0;0;0
10;0;1;1
23;12;16;18
31;35;44;64
53;68;102;141
84;124;134;131
115;155;144;139
199;260;254;246
261;337;329;315
250;343;331;297
175;254;256;240
74;134;138;139
0;1;9;19
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;1
18;8;8;12
33;34;37;62
46;58;86;125
72;111;128;134
110;133;133;133
142;173;181;189
256;331;305;269
261;328;316;277
204;280;258;258
126;174;171;163
1;16;32;47
0;0;0;1
0;0;0;0
0;0;0;0
0;0;0;0
14;1;3;1
27;23;32;41
49;57;86;127
64;92;131;136
94;133;132;137
124;148;135;139
245;277;251;250
265;331;317;294
230;321;289;262
161;249;250;252
37;108;144;135
0;0;12;21
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
21;7;3;2
36;30;35;47
57;73;110;125
87;123;131;133
114;137;138;138
192;253;246;260
257;340;325;303
250;345;332;308
183;262;261;248
81;136;134;144
0;5;13;30
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
14;6;5;11
28;21;21;30
52;62;87;128
69;101;141;134
103;146;131;154
132;189;190;198
259;324;304;272
261;322;304;263
202;274;251;249
126;170;178;188
0;11;31;55
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
10;1;1;2
21;9;5;5
36;36;39;55
61;80;116;130
80;125;146;139
118;144;132;154
205;256;253;252
261;338;339;321
253;314;305;265
185;256;259;235
75;134;136;142
0;0;14;23
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
20;9;10;13
37;35;45;73
56;73;111;129
81;122;135;141
116;138;133;136
166;210;230;250
258;324;314;293
250;318;297;258
196;262;252;254
