## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2018-12-17_16-23-03 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# %d;%d;%d;%d
186;267;374;440
194;282;386;424
198;288;386;424
194;282;378;432
182;264;358;416
143;210;334;384
118;186;294;344
94;152;243;304
79;122;210;258
42;62;118;162
14;11;26;48
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
14;0;0;0
26;11;0;0
38;34;14;1
58;67;70;72
74;98;128;131
106;154;206;240
130;170;270;315
138;187;314;363
142;202;330;384
150;211;346;403
182;259;366;427
190;274;378;440
194;280;378;441
190;280;378;440
186;266;366;424
162;234;354;401
130;184;302;352
102;160;258;304
78;128;202;259
54;79;138;171
26;32;50;73
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
14;0;0;0
26;14;0;0
34;32;2;0
54;59;58;56
66;90;110;123
96;138;175;208
122;184;258;296
138;190;303;354
142;200;326;384
142;202;334;392
170;248;378;433
190;274;378;440
198;288;386;425
198;288;386;424
190;274;370;427
170;248;366;412
138;195;318;368
110;170;278;323
90;142;226;288
70;106;186;232
34;42;82;120
6;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
10;0;0;0
18;8;0;0
30;19;0;0
46;50;38;32
62;78;90;96
86;120;162;177
110;168;234;283
134;184;294;347
142;195;322;376
142;200;330;384
160;226;362;419
186;267;374;434
194;282;384;424
198;288;384;424
190;280;378;432
174;258;354;413
150;216;334;378
118;186;294;339
98;160;250;312
74;120;207;264
42;58;111;160
14;14;26;43
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
15;2;0;0
30;19;0;0
38;34;14;0
58;74;75;75
78;106;138;139
110;160;210;248
130;174;274;322
138;190;310;365
142;200;326;384
154;211;346;400
175;258;366;427
190;274;378;440
198;288;386;425
190;280;378;440
186;270;367;425
160;227;346;393
122;202;310;360
102;162;262;304
86;134;214;266
50;75;138;177
26;26;50;75
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
14;0;0;0
26;11;0;0
34;34;10;0
50;58;58;56
70;90;110;121
98;139;182;211
122;186;262;299
138;190;310;360
142;202;330;386
143;203;334;392
170;242;378;434
190;274;378;440
194;282;384;426
194;282;382;440
186;270;370;427
170;250;366;412
138;194;318;366
110;174;278;320
86;138;224;283
70;106;186;232
34;43;82;115
6;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
22;10;0;0
34;27;2;0
42;46;39;40
62;78;90;96
86;122;166;184
118;171;238;288
134;184;294;347
142;194;322;378
142;200;330;384
162;232;366;424
186;266;370;434
198;288;386;425
194;282;384;424
190;280;378;434
174;256;354;413
142;206;326;376
118;186;290;331
98;154;250;312
74;115;206;257
42;58;110;155
14;10;18;40
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
15;8;0;0
26;18;0;0
42;42;18;2
58;74;78;78
78;104;138;140
110;162;214;248
130;171;274;323
142;190;310;365
142;200;330;384
154;211;342;400
174;256;366;427
190;280;382;440
198;288;384;424
194;282;384;419
186;270;366;424
158;232;352;395
128;178;298;345
102;160;255;321
86;130;206;267
54;78;138;171
26;32;54;73
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
