# lp/%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;
87;82;82;58;79;79;61;82;82;65;79;79;70;83;83;
88;87;87;70;87;87;72;89;89;73;86;86;77;89;89;
88;88;88;74;90;90;76;92;92;77;88;88;80;91;91;
89;90;90;78;91;91;79;93;93;80;90;90;83;92;92;
90;91;91;83;94;94;84;95;95;84;92;92;87;95;95;
91;92;92;85;95;95;86;96;96;86;94;94;89;96;96;
92;93;93;87;95;95;88;96;96;88;95;95;91;96;96;
92;93;93;88;96;96;89;97;97;89;95;95;91;97;97;
93;94;94;89;96;96;89;97;97;90;96;96;93;97;97;
93;94;94;89;96;96;90;97;97;90;96;96;94;98;98;
93;94;94;90;96;96;90;97;97;91;96;96;94;98;98;
93;94;94;90;96;96;91;97;97;91;96;96;95;98;98;
92;94;94;92;96;96;92;97;97;91;96;96;95;98;98;
89;91;91;92;95;95;91;96;96;90;95;95;95;98;98;
88;90;90;92;95;95;93;96;96;90;94;94;95;98;98;
86;89;89;93;94;94;95;96;96;91;95;95;96;98;98;
88;90;90;95;95;95;97;97;97;95;96;96;98;99;99;
89;89;89;93;93;93;95;96;96;94;95;95;99;99;99;
91;94;94;97;97;97;97;98;98;94;96;96;96;96;96;
92;95;95;97;97;97;97;98;98;93;95;95;94;95;95;
89;94;94;96;96;96;98;98;98;95;96;96;95;96;96;
82;88;88;91;92;92;91;93;93;89;91;91;93;95;95;
79;77;77;60;66;66;72;77;77;73;78;78;89;91;91;
77;72;72;74;77;77;69;74;74;67;73;73;78;83;83;
68;62;62;82;81;81;75;77;77;72;74;74;71;75;75;
68;68;68;83;84;84;85;86;86;72;78;78;70;79;79;
73;71;71;88;89;89;92;93;93;82;87;87;85;90;90;
83;79;79;94;95;95;98;98;98;96;97;97;97;98;98;
84;81;81;95;96;96;98;98;98;96;98;98;98;98;98;
85;82;82;96;96;96;98;98;98;96;97;97;98;98;98;
85;83;83;97;97;97;96;97;97;94;95;95;98;98;98;
83;83;83;97;97;97;95;97;97;94;96;96;98;98;98;
82;83;83;96;97;97;97;98;98;96;97;97;98;98;98;
81;82;82;96;96;96;98;99;99;98;98;98;99;99;99;
85;85;85;94;95;95;98;98;98;99;99;99;99;99;99;
87;86;86;94;95;95;98;98;98;99;99;99;99;99;99;
88;87;87;95;95;95;97;97;97;98;99;99;99;99;99;
89;88;88;95;95;95;97;98;98;97;98;98;99;99;99;
89;88;88;94;94;94;98;98;98;99;99;99;99;99;99;
89;89;89;94;95;95;99;98;98;99;99;99;99;98;98;
90;90;90;94;94;94;98;98;98;99;99;99;99;99;99;
86;85;85;89;90;90;71;78;78;75;82;82;98;99;99;
71;67;67;47;56;56;42;51;51;36;47;47;58;69;69;
