## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-05-01_00-48-43 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch0;ch1;ch2;ch3
296;268;228;200
180;168;152;148
159;143;127;127
127;135;124;127
80;84;96;100
122;93;80;95
108;84;72;72
84;88;80;72
90;92;80;72
72;80;82;76
76;90;90;86
95;95;79;95
103;102;72;64
64;68;76;86
88;90;68;56
48;48;56;68
91;86;64;64
82;79;63;44
72;79;79;79
67;52;64;68
72;78;84;84
95;63;48;48
64;87;68;56
56;64;64;64
78;76;64;40
40;36;32;40
52;79;32;40
76;87;63;58
40;40;64;84
95;42;68;95
82;64;52;54
48;63;79;79
48;64;78;68
56;52;64;64
72;94;84;68
68;76;78;68
64;64;64;72
70;70;56;48
64;68;79;86
90;95;95;92
84;95;103;103
107;79;64;84
102;103;96;94
92;80;64;56
52;48;76;95
92;95;95;95
95;95;95;95
95;78;70;72
106;111;74;64
88;95;64;80
98;102;80;64
64;56;64;64
76;94;95;79
48;52;68;92
95;95;82;68
72;72;72;84
95;79;71;48
72;95;95;103
103;101;72;79
95;103;96;84
80;72;64;72
111;71;52;64
88;82;84;86
94;95;95;103
110;95;79;87
72;64;68;80
102;87;52;72
84;107;95;79
66;64;64;80
94;103;92;64
56;64;84;95
103;48;72;88
103;95;84;68
72;95;95;62
64;76;80;72
64;64;48;56
84;63;44;64
88;79;55;44
48;72;95;95
79;79;79;52
64;107;95;79
79;109;102;88
88;92;92;94
111;95;70;64
64;92;110;96
72;68;64;64
72;80;68;64
64;84;95;79
48;72;92;72
64;64;64;68
86;91;90;88
88;95;79;62
56;52;48;64
72;95;95;95
79;64;102;95
69;52;72;84
94;95;95;79
64;64;64;64
80;76;64;72
72;95;95;87
79;95;68;56
72;103;95;95
87;79;79;70
70;68;64;56
64;72;80;92
95;95;95;95
72;80;95;84
64;58;67;63
48;68;86;95
94;80;78;80
72;68;64;48
68;95;95;95
95;95;92;102
111;79;64;72
80;72;76;80
94;95;79;77
79;64;64;80
103;79;56;64
86;95;48;64
103;68;63;48
68;86;80;76
84;87;95;95
102;90;76;84
111;87;87;68
64;88;111;111
100;84;76;82
102;111;111;111
110;108;96;84
80;82;80;88
102;95;95;110
104;110;98;92
84;106;111;111
111;111;111;123
123;127;127;127
127;112;104;100
96;108;127;95
72;80;84;119
111;95;103;119
104;100;100;96
111;111;87;68
88;100;92;92
106;111;106;92
80;80;88;98
98;110;96;84
88;100;110;102
98;111;95;64
84;111;95;79
64;76;92;100
102;94;68;64
56;64;72;94
94;72;64;48
64;72;95;95
95;95;77;64
64;95;111;95
95;94;72;64
72;76;84;95
95;63;56;64
92;71;48;56
68;88;95;95
95;103;84;80
68;72;95;103
95;103;103;98
88;96;103;103
88;96;111;111
103;111;96;74
72;92;102;102
100;108;111;100
80;72;92;100
96;88;68;56
52;48;64;64
64;64;48;68
76;93;87;72
72;72;64;44
56;68;95;79
63;48;52;64
68;64;64;64
64;64;44;40
52;78;79;70
64;56;76;87
79;79;79;87
95;103;88;72
72;88;88;80
68;64;64;68
90;87;95;94
80;68;64;64
95;52;64;88
95;79;60;52
52;64;84;95
95;90;64;66
95;94;100;90
72;64;60;71
79;95;82;64
64;72;95;95
75;52;64;84
80;68;64;56
64;92;79;54
48;80;95;79
52;52;64;92
95;95;84;72
80;95;95;95
78;72;88;100
111;95;95;111
119;119;127;111
111;127;116;108
104;106;123;123
111;78;80;88
88;100;96;96
111;87;64;72
96;111;111;111
111;118;100;80
68;64;72;88
100;102;98;92
84;76;80;80
68;80;95;95
95;95;72;64
84;95;103;95
111;111;111;106
108;119;103;82
72;96;111;70
76;108;111;74
72;104;111;111
95;86;64;80
104;111;64;72
96;95;79;64
80;72;80;94
95;102;80;72
80;94;103;111
107;95;79;66
72;76;80;106
95;95;66;64
92;103;100;95
80;72;64;64
72;92;95;95
103;102;80;64
64;80;90;103
107;109;111;111
108;88;88;96
96;111;79;64
104;58;64;80
103;95;95;103
100;72;64;64
72;80;90;107
103;95;107;102
84;96;100;96
84;72;68;64
72;95;79;48
64;88;95;95
95;95;111;111
111;108;96;88
76;84;98;103
103;111;111;111
111;111;96;74
76;72;92;104
111;111;111;111
119;108;88;84
92;111;111;96
80;72;84;88
92;100;92;72
80;80;76;68
68;78;95;95
78;64;94;95
56;64;95;95
87;52;64;64
64;72;74;76
92;84;82;80
78;95;48;56
76;92;84;64
48;64;64;64
64;72;79;87
95;94;86;64
48;48;64;64
80;92;87;79
95;88;82;72
64;76;95;58
56;64;64;74
90;95;75;48
64;72;76;64
48;48;56;70
79;79;79;90
72;64;64;84
95;48;86;95
95;95;103;95
64;72;80;82
92;95;99;103
111;64;72;84
106;102;88;80
100;87;68;56
64;95;64;58
48;64;88;84
78;95;95;71
56;64;64;52
64;95;71;52
48;80;86;95
79;54;48;64
90;95;95;95
68;64;64;76
102;95;101;92
90;103;88;92
94;107;111;111
111;111;111;106
102;119;111;76
80;111;111;100
88;76;80;84
98;107;103;108
107;88;76;94
96;96;94;80
64;56;64;68
95;95;56;48
68;94;88;92
94;103;95;80
80;84;88;88
95;95;95;111
110;102;72;64
64;80;80;92
88;72;64;64
84;95;95;79
48;72;95;87
48;95;95;70
64;64;52;52
76;92;95;95
103;71;60;64
80;103;103;100
100;98;92;76
72;72;68;68
76;95;95;94
72;72;72;90
88;95;95;94
94;100;102;84
72;84;76;84
76;88;64;64
76;95;70;71
56;62;71;71
56;64;72;80
84;95;95;94
72;64;80;84
95;95;103;107
88;64;75;79
58;64;76;94
90;109;95;79
64;64;76;84
94;94;80;72
72;80;84;84
86;76;68;64
72;84;76;64
64;52;40;42
44;76;79;40
48;48;64;64
64;87;87;94
95;62;48;68
94;95;92;95
95;87;95;103
111;111;110;96
96;80;72;92
109;111;100;84
84;111;95;102
84;80;80;94
92;84;92;102
111;107;98;84
84;111;111;108
96;88;80;88
111;79;79;79
70;64;64;72
111;79;64;64
80;88;72;76
82;95;95;75
52;72;88;95
92;76;64;64
76;95;95;77
48;64;84;95
75;64;84;95
95;80;64;94
68;52;64;64
90;95;79;75
56;64;72;95
79;48;64;84
94;86;94;92
72;64;64;64
95;95;54;64
107;91;98;92
80;72;64;71
93;64;60;71
52;64;64;72
76;94;95;95
95;95;107;111
111;111;118;111
106;96;80;72
88;111;95;95
64;80;84;88
76;84;86;80
76;90;80;76
64;84;90;72
72;76;90;95
84;64;64;64
84;95;95;95
95;110;103;80
76;88;94;109
111;87;64;76
88;111;64;72
102;111;111;111
95;95;72;72
111;111;111;102
88;100;98;98
110;111;111;111
119;104;88;84
88;92;76;64
76;95;107;100
80;64;72;80
92;107;111;111
111;111;92;88
100;96;80;80
68;72;72;72
103;95;88;76
68;76;95;95
103;109;95;95
70;64;64;64
80;76;82;103
95;87;103;100
84;84;80;82
76;107;87;58
64;84;100;94
72;56;48;48
64;95;87;55
48;72;94;95
84;86;95;95
86;95;95;88
100;110;111;111
95;91;78;64
72;104;111;87
64;64;88;107
111;108;92;80
80;92;107;100
104;111;110;111
111;111;111;111
119;110;100;98
88;96;106;96
80;72;76;72
84;95;79;60
64;90;84;84
95;87;52;64
92;78;64;48
64;76;78;76
84;68;64;64
87;95;48;64
90;88;86;78
72;72;68;80
95;95;95;95
95;72;64;56
52;111;79;52
68;103;95;69
64;56;64;90
103;95;70;68
64;80;103;79
64;64;79;103
98;72;64;64
80;103;87;52
64;84;92;84
72;72;76;90
95;82;64;64
86;72;56;56
68;80;95;95
95;52;64;86
95;95;76;76
92;75;79;87
95;102;80;72
92;95;75;64
72;94;111;95
64;88;111;103
76;64;64;68
80;103;79;56
64;80;103;95
79;52;64;72
90;88;84;90
92;95;103;103
102;88;88;98
111;95;95;64
80;103;111;111
111;100;84;68
64;92;110;108
111;100;88;72
92;94;102;106
111;64;92;106
95;64;68;80
107;95;103;111
111;110;108;88
84;88;80;72
98;107;103;109
92;94;111;111
108;104;104;111
111;118;104;80
88;119;91;64
108;111;79;70
64;88;100;100
76;64;72;88
95;84;72;64
76;95;95;103
95;95;111;111
111;111;102;96
96;111;111;111
123;111;95;78
72;96;119;116
100;100;111;119
95;80;108;119
119;82;72;84
106;96;84;72
100;95;64;68
106;95;95;103
111;100;80;92
100;98;96;84
88;111;111;95
72;72;84;111
95;64;64;64
76;80;95;103
98;100;98;80
72;72;76;88
88;95;94;94
107;111;103;111
111;95;68;84
100;100;100;80
64;76;103;107
84;80;94;102
109;111;79;64
80;88;98;111
108;111;111;111
119;96;96;119
111;78;76;68
72;110;111;103
76;72;98;111
64;88;111;111
119;110;84;72
64;100;111;95
83;79;64;72
96;90;80;76
80;111;79;74
64;68;92;103
106;111;111;111
95;76;64;84
104;110;111;78
68;110;111;111
108;88;72;72
92;88;76;68
76;94;92;107
95;95;68;95
88;88;88;88
98;88;74;76
90;103;95;107
111;92;80;88
98;84;88;92
100;100;92;80
72;80;103;103
100;64;79;86
64;64;88;88
92;78;72;80
94;95;84;68
64;68;68;64
48;40;40;70
87;76;56;40
48;68;87;87
61;64;90;63
64;95;63;48
64;80;84;64
48;48;64;72
72;64;72;70
56;68;66;64
68;64;87;79
79;60;79;95
94;72;56;48
48;44;48;64
82;91;87;95
95;95;76;64
64;64;64;72
88;95;44;64
84;84;72;64
64;95;79;71
87;95;76;64
72;84;88;72
68;64;76;90
72;76;84;82
87;66;68;72
64;44;40;52
72;78;87;84
68;72;76;76
72;64;86;95
87;79;70;60
64;94;95;95
87;64;64;92
111;103;92;80
72;103;102;92
88;76;64;64
68;90;95;95
66;64;76;88
88;86;88;95
110;103;111;111
86;79;64;72
76;80;103;111
95;64;72;96
100;88;72;56
52;52;48;64
80;84;84;72
64;64;84;79
56;46;40;64
68;64;48;64
87;87;78;64
48;72;95;87
95;95;78;72
64;64;72;86
95;44;94;95
71;71;66;48
72;88;95;95
95;111;111;111
111;111;119;127
126;108;88;80
72;72;96;106
111;104;80;76
98;88;76;72
72;88;94;95
84;76;68;82
95;95;88;100
95;72;91;68
79;95;72;64
95;94;80;80
76;72;68;68
86;95;95;79
56;64;64;82
95;88;72;68
86;95;95;95
95;95;107;103
111;79;64;80
88;92;111;111
95;93;95;111
119;100;80;72
88;96;102;111
111;94;76;64
88;92;80;64
64;80;95;95
95;90;88;95
95;56;68;103
103;109;108;100
84;68;76;100
95;95;111;79
76;84;92;100
107;106;111;95
74;72;80;88
80;76;103;107
111;100;84;76
76;84;84;88
90;68;64;64
72;88;95;95
95;95;111;111
111;111;95;83
64;96;119;95
79;76;87;103
111;84;72;87
79;68;64;84
111;95;103;95
76;74;64;64
64;80;103;111
79;64;64;84
111;103;107;102
92;88;92;88
84;72;64;64
68;95;79;48
76;76;80;95
95;95;79;52
76;88;88;80
92;95;52;64
95;95;103;102
100;80;80;86
107;107;111;111
95;95;72;72
108;111;111;111
96;96;111;119
87;84;96;96
88;100;111;111
111;119;100;96
96;106;111;79
80;92;88;88
80;92;84;80
80;76;80;80
88;103;91;91
95;103;88;72
80;80;84;72
88;84;82;84
80;72;64;48
44;64;78;95
95;87;60;64
84;80;92;95
62;64;86;95
95;64;80;92
98;107;95;64
92;95;100;94
90;98;84;64
94;92;84;88
92;68;64;64
78;88;95;95
95;79;68;56
